 (cabinet)
" Churchill, W (cabinet)"
"Ackley, Gardner H.; Ackley, H. Gardner (clinton)"
"Ackley, Hugh Gardner (briefing)"
"Ackley, Hugh Gardner (frus)"
"Acland, Anthony (briefing)"
"Acland, Anthony (clinton)"
"Acland, Anthony (frus)"
"Acly, R. Austin (clinton)"
"Acly, R. Austin (frus)"
"Acosta, Eduardo (frus)"
"Acree, Vernon D. (briefing)"
"Acree, Vernon D. (clinton)"
"Acree, Vernon D. (frus)"
"Acuff, Ronald (clinton)"
"Aczel, Gyorgy (briefing)"
"Aczel, Gyorgy (frus)"
"Adair, Barbara (clinton)"
"Adair, Charles W. (briefing)"
"Adair, Charles W. (frus)"
"Adair, Charles W., Jr. (clinton)"
"Adair, Charles W.; Adair, Charles W., Jr. (clinton)"
"Adair, Charles Wallace, Jr. (briefing)"
"Adair, Charles Wallace, Jr. (frus)"
"Adair, Edwin Ross (briefing)"
"Adair, Edwin Ross (clinton)"
"Adair, Edwin Ross (frus)"
"Adam, Geoffrey (clinton)"
"Adam, R (cabinet)"
"Adamkus, Valdas (briefing)"
"Adamkus, Valdas (frus)"
Adams (cabinet)
"Adams, Alvin P. (briefing)"
"Adams, Alvin P. (frus)"
"Adams, Arthur H. (briefing)"
"Adams, Arthur H. (clinton)"
"Adams, Arthur H. (frus)"
"Adams, Brockman (Brock) (briefing)"
"Adams, Brockman (Brock) (frus)"
"Adams, C. H. (cpdoc)"
"Adams, Charles (briefing)"
"Adams, Charles (frus)"
"Adams, Charles C., Jr. (briefing)"
"Adams, Charles C., Jr. (frus)"
"Adams, Charles Francis (briefing)"
"Adams, Charles Francis (frus)"
"Adams, David (clinton)"
"Adams, David S. (briefing)"
"Adams, David S. (frus)"
"Adams, Donald B. (cpdoc)"
"Adams, Donald B. (frus)"
"Adams, Francis W. H. (briefing)"
"Adams, Francis W. H. (frus)"
"Adams, General Paul D.; Adams, Paul D. (clinton)"
"Adams, Geoffrey (clinton)"
"Adams, Gregory (clinton)"
"Adams, J. Wesley, Jr. (frus)"
"Adams, J. Wesley, Jr.; Adams, Robert A. W.; Adams, Robert A.W.; Adams, Robert W.; Adams, Sherman; Adams, Ware (clinton)"
"Adams, J.M.G.M. (Tom) (briefing)"
"Adams, J.M.G.M. (Tom) (frus)"
"Adams, John (briefing)"
"Adams, John (cpdoc)"
"Adams, John (frus)"
"Adams, John Quincy (briefing)"
"Adams, John Quincy (frus)"
"Adams, Joseph (briefing)"
"Adams, Joseph (frus)"
"Adams, Joseph, (clinton)"
"Adams, Kelli (clinton)"
"Adams, Paul D. (briefing)"
"Adams, Paul D. (cpdoc)"
"Adams, Paul D. (frus)"
"Adams, Philip (briefing)"
"Adams, Philip (frus)"
"Adams, Robert W. (frus)"
"Adams, Robert, Jr. (briefing)"
"Adams, Robert, Jr. (frus)"
"Adams, Russell B. (clinton)"
"Adams, Russell B. (frus)"
"Adams, Samuel Clifford, Jr. (briefing)"
"Adams, Samuel Clifford, Jr. (frus)"
"Adams, Sherman (briefing)"
"Adams, Sherman (clinton)"
"Adams, Sherman (frus)"
"Adams, Sir Philip (clinton)"
"Adams, Thomas (clinton)"
"Adams, W (cabinet)"
"Adams, Ware (frus)"
"Adams, Weston (briefing)"
"Adams, Weston (frus)"
"Adamson, Jo (clinton)"
"Adamson, W (cabinet)"
"Adashek, Jeannie (clinton)"
"Adcock, Clarence L. (briefing)"
"Adcock, Clarence L. (frus)"
"Addams, Jane (briefing)"
"Addams, Jane (frus)"
"Adderley, Paul (briefing)"
"Adderley, Paul (frus)"
"Addis, John M. (briefing)"
"Addis, John M. (clinton)"
"Addis, John M. (frus)"
Addison (cabinet)
"Addison, C (cabinet)"
"Addison, G (cabinet)"
"Addleton, Jonathan (clinton)"
"Addleton, Jonathan S. (briefing)"
"Addleton, Jonathan S. (frus)"
"Addou, Abdullahi Ahmed (briefing)"
"Addou, Abdullahi Ahmed (clinton)"
"Addou, Abdullahi Ahmed (frus)"
"Adebo, Chief S. O. (clinton)"
"Adebo, S. O. (briefing)"
"Adebo, S. O. (clinton)"
"Adebo, S. O. (cpdoc)"
"Adebo, S. O. (frus)"
"Adee, Alvey Augustus (briefing)"
"Adee, Alvey Augustus (frus)"
"Adelman, David (briefing)"
"Adelman, David (frus)"
"Adelman, Kenneth Lee (briefing)"
"Adelman, Kenneth Lee (frus)"
"Aden, Abdullah Osman (briefing)"
"Aden, Abdullah Osman (clinton)"
"Aden, Abdullah Osman (frus)"
"Aden, Alberto (frus)"
"Adenauer, Conrad; Adenauer, Dr. Konrad; Adenauer, Konrad (clinton)"
"Adenauer, Konrad (briefing)"
"Adenauer, Konrad (cpdoc)"
"Adenauer, Konrad (frus)"
"Adeyemc, Adewale (clinton)"
"Adham, Kamal (briefing)"
"Adham, Kamal (frus)"
"Adham, Kamal; Adham, Kamal Sheik; Adham, Sheikh Kamal (clinton)"
"Adl, Yahya (briefing)"
"Adl, Yahya (frus)"
"Adl,Yahya (clinton)"
"Adler, Caroline (clinton)"
"Adler, Clay (clinton)"
"Adler, Michael (clinton)"
"Adler, Solomon (briefing)"
"Adler, Solomon (frus)"
"Adolfo de Varnhagen, Francisco (cpdoc)"
"Adoula, Cyrille (briefing)"
"Adoula, Cyrille (clinton)"
"Adoula, Cyrille (frus)"
"Adriázola Valda, Oscar (cpdoc)"
"Adriázola Valda, Oscar (frus)"
"Adulyadej, Bhumibol (briefing)"
"Adulyadej, Bhumibol (cpdoc)"
"Adulyadej, Bhumibol (frus)"
"Adye, J (cabinet)"
"Adzhubei, Aleksei I. (briefing)"
"Adzhubei, Aleksei I. (frus)"
"Adzhubei, Aleksei I.; Adzhubei, Alexei I. (clinton)"
"Afonso Capanema, Gustavo (cpdoc)"
"Afonso, Almino (cpdoc)"
"Afritich, Josef (briefing)"
"Afritich, Josef (frus)"
"Afshar, Amir Aslan (briefing)"
"Afshar, Amir Aslan (frus)"
"Afshar, Amir Aslan; Afshar, Hushang (clinton)"
"Afshar, Hushang (briefing)"
"Afshar, Hushang (frus)"
"Afshartus, Brigadier General Mahmud (clinton)"
"Afshartus, Mahmud (briefing)"
"Afshartus, Mahmud (frus)"
"Afwerki, Isaias (briefing)"
"Afwerki, Isaias (frus)"
"Aga Khan, Sadruddin (briefing)"
"Aga Khan, Sadruddin (clinton)"
"Aga Khan, Sadruddin (cpdoc)"
"Aga Khan, Sadruddin (frus)"
"Agartz, Viktor (briefing)"
"Agartz, Viktor (frus)"
"Ageton, Arthur A. (clinton)"
"Ageton, Arthur Ainslie (briefing)"
"Ageton, Arthur Ainslie (frus)"
"Agger, Donald G. (clinton)"
"Agger, Donald G. (frus)"
"Aggrey, Orison Rudolph (briefing)"
"Aggrey, Orison Rudolph (frus)"
"Agha Khan, Prince Sadruddin (clinton)"
"Aghnides, Thanassis P. (briefing)"
"Aghnides, Thanassis P. (frus)"
"Agnew, Spiro T. (briefing)"
"Agnew, Spiro T. (frus)"
"Agnew, Spiro; Agnew, Spiro T. (clinton)"
"Agosti, Orlando (briefing)"
"Agosti, Orlando (cpdoc)"
"Agosti, Orlando (frus)"
"Agramonte Pichado, Roberto (briefing)"
"Agramonte Pichado, Roberto (clinton)"
"Agramonte Pichado, Roberto (frus)"
"Agrast, Mark (clinton)"
"Agt, Andreas A. M. van (briefing)"
"Agt, Andreas A. M. van (frus)"
"Aguero Rocha, Fernando; Aguero Rocha, Fernando Bernabe (clinton)"
"Aguerre, Jose (clinton)"
"Aguierre, Sergio (clinton)"
"Aguilar Cornejo, David (briefing)"
"Aguilar Cornejo, David (clinton)"
"Aguilar Cornejo, David (frus)"
"Aguilar Mawdsley, AndrÃÂ©s (briefing)"
"Aguilar Mawdsley, Andrés (frus)"
"Aguilar, Andres (clinton)"
"Aguilar, David (clinton)"
"Aguilera, Patricia (clinton)"
"Aguilo, Patricia (clinton)"
"Aguirre Lanari, Juan RamÃ³n (briefing)"
"Aguirre Lanari, Juan Ramón (frus)"
"Aguirre, Eduardo (briefing)"
"Aguirre, Eduardo (frus)"
"Aguirre, Francisco (briefing)"
"Aguirre, Francisco (frus)"
"Aguirre, Sergio (clinton)"
"Agung, Anak Agung Gde (briefing)"
"Agung, Anak Agung Gde (clinton)"
"Agung, Anak Agung Gde (frus)"
"AgÃÂ¼ero Rocha, Fernando BernabÃÂ© (briefing)"
"Agüero Rocha, Fernando Bernabé (frus)"
"Ahamed, Liaquat (clinton)"
"Ahern, Bertie (briefing)"
"Ahern, Bertie (frus)"
"Ahern, Paul L. Jr. (clinton)"
"Ahern, Paul L., Jr. (frus)"
"Aherne, Richard W. (briefing)"
"Aherne, Richard W. (clinton)"
"Aherne, Richard W. (frus)"
"Aherne, Richard W. (kissinger)"
"Ahi, al-Majid âAbd (briefing)"
"Ahi, al-Majid ’Abd (frus)"
"Ahidjo, Ahmadou (briefing)"
"Ahidjo, Ahmadou (clinton)"
"Ahidjo, Ahmadou (frus)"
"Ahlers, Conrad (briefing)"
"Ahlers, Conrad (clinton)"
"Ahlers, Conrad (frus)"
Ahmad ben Yahya (briefing)
Ahmad ben Yahya (frus)
Ahmad ibn Ali al Thani (briefing)
Ahmad ibn Ali al Thani (frus)
"Ahmad, Khondkar Mushtaq (briefing)"
"Ahmad, Khondkar Mushtaq (clinton)"
"Ahmad, Khondkar Mushtaq (frus)"
"Ahmad, M. M. (briefing)"
"Ahmad, M. M. (clinton)"
"Ahmad, M. M. (cpdoc)"
"Ahmad, M. M. (frus)"
"Ahmad, Sharon Erdkamp (frus)"
Ahmed Mirza (briefing)
Ahmed Mirza (frus)
"Ahmed Salim, Salim (cpdoc)"
Ahmed bin Abdul Aziz al-Saud (briefing)
Ahmed bin Abdul Aziz al-Saud (frus)
Ahmed ibn Yahya Nasir el-Din Allah (briefing)
Ahmed ibn Yahya Nasir el-Din Allah (frus)
"Ahmed, Aziz (briefing)"
"Ahmed, Aziz (frus)"
"Ahmed, Esmat Abdel Meguid (briefing)"
"Ahmed, Esmat Abdel Meguid (clinton)"
"Ahmed, Esmat Abdel Meguid (frus)"
"Ahmed, Ghulam (briefing)"
"Ahmed, Ghulam (frus)"
"Ahmed, Ghulam; Ahmed, Aziz (clinton)"
"Ahmed, Khondakar Mushtaque (clinton)"
"Ahmed, Rashid (clinton)"
"Ahmed, Salman (clinton)"
"Ahmed, Tajuddin (briefing)"
"Ahmed, Tajuddin (clinton)"
"Ahmed, Tajuddin (frus)"
"Aho, Esko (briefing)"
"Aho, Esko (frus)"
"Ahsan, Syed Mohammad (briefing)"
"Ahsan, Syed Mohammad (frus)"
"Ahsan, Vice Admiral Syed Mohammad (clinton)"
"Ahtisaari, Martti (briefing)"
"Ahtisaari, Martti (frus)"
"Aicher, Rachel (clinton)"
"Aichi Kiichi; Aichi, Kiichi (clinton)"
"Aichi, Kiichi (briefing)"
"Aichi, Kiichi (cpdoc)"
"Aichi, Kiichi (frus)"
Aidit Dipa Nusantara (clinton)
"Aidit, Dipa N.; Aidit, Dipa Nusantara (clinton)"
"Aidit, Dipa Nusantara (briefing)"
"Aidit, Dipa Nusantara (frus)"
"Aiken, Frank (briefing)"
"Aiken, Frank (clinton)"
"Aiken, Frank (frus)"
"Aiken, George D. (briefing)"
"Aiken, George D. (frus)"
"Aiken, George; Aiken, George D. (clinton)"
"Aiken, George; Aiken, George D. (kissinger)"
"Ailes, Stephen (briefing)"
"Ailes, Stephen (frus)"
"Ailes, Stephen; Ailes, Steven (clinton)"
"Ailey, Alvin (briefing)"
"Ailey, Alvin (frus)"
"Ailleret, Charles (briefing)"
"Ailleret, Charles (frus)"
"Ailleret, General de Brigade Charles (clinton)"
"Aini, Muhsin al- (briefing)"
"Aini, Muhsin al- (clinton)"
"Aini, Muhsin al- (frus)"
"Ainsworth, Thomas W. (frus)"
"Airey, Terence S. (briefing)"
"Airey, Terence S. (frus)"
"Aitken, William Maxwell (briefing)"
"Aitken, William Maxwell (frus)"
"Ajmone-Cat, Mario (briefing)"
"Ajmone-Cat, Mario (frus)"
"Aka, Moise (clinton)"
"Aka, Moise (frus)"
"Akaev, Askar (briefing)"
"Akaev, Askar (frus)"
"Akalovsky, Alexander A. (frus)"
"Akalovsky, Alexander; Akalovsky, Alexander A. (clinton)"
Akasaka (cpdoc)
"Akbar, S (clinton)"
"Aker, Richard (clinton)"
"Akers, Anthony Boyce (briefing)"
"Akers, Anthony Boyce (frus)"
"Akhdar, Farouk (clinton)"
"Akhdar, Farouk (frus)"
Akihito (briefing)
Akihito (cpdoc)
Akihito (frus)
"Akins, Cindy (clinton)"
"Akins, James E. (clinton)"
"Akins, James Elmer (briefing)"
"Akins, James Elmer (frus)"
"Aklilou, Ato Abte-wold (clinton)"
"Aklilu, Abte-Wold Tsahafi (briefing)"
"Aklilu, Abte-Wold Tsahafi (clinton)"
"Aklilu, Abte-Wold Tsahafi (frus)"
"Akpan, N. U. (briefing)"
"Akpan, N. U. (cpdoc)"
"Akpan, N. U. (frus)"
"Akuetteh, Cynthia (clinton)"
"Akuetteh, Cynthia Helen (briefing)"
"Akuetteh, Cynthia Helen (frus)"
"Akwei, Richard Maximilian (frus)"
"Al-Ahmad Al-Jaber Al-Sabah, Sabah (cpdoc)"
"Al-Faqih, Asad (briefing)"
"Al-Faqih, Asad (frus)"
"Al-Faqih, Sheikh Asad (clinton)"
"Al-Fassi, Allal (briefing)"
"Al-Fassi, Allal (clinton)"
"Al-Fassi, Allal (frus)"
"Al-Hassani, Mehdi (clinton)"
"Al-Jarbi (Jerbi), Ali (briefing)"
"Al-Jarbi (Jerbi), Ali (clinton)"
"Al-Jarbi (Jerbi), Ali (frus)"
"Al-Khawaja, Maryam (clinton)"
"Al-Khouri, Faris (briefing)"
"Al-Khouri, Faris (frus)"
"Al-Otaiba, Yousef (clinton)"
"Al-Said, Nuri (briefing)"
"Al-Said, Nuri (clinton)"
"Al-Said, Nuri (frus)"
"Al-Sakkaf, Omar (cpdoc)"
"Al-Salamah, Ali bin Shaykh Hasan (Abu Hasan) (briefing)"
"Al-Salamah, Ali bin Shaykh Hasan (Abu Hasan) (frus)"
"Al-Saqqaf, Omar (clinton)"
"Al-Saqqaf, Omar (kissinger)"
"Al-Shabib, Talib Husain (briefing)"
"Al-Shabib, Talib Husain (frus)"
"Al-Shishakli, Adib (briefing)"
"Al-Shishakli, Adib (frus)"
"Al-Shishakli, General Adib (clinton)"
"Al-Sulh, Samih (briefing)"
"Al-Sulh, Samih (frus)"
"Al-Thani, Saidh Ali Ibn Abdullah (briefing)"
"Al-Thani, Saidh Ali Ibn Abdullah (clinton)"
"Al-Thani, Saidh Ali Ibn Abdullah (frus)"
"Al-Wattari, Abd al-Aziz (briefing)"
"Al-Wattari, Abd al-Aziz (frus)"
"Al-Zayat, Wael (clinton)"
"Ala, Hosein (briefing)"
"Ala, Hosein (frus)"
"Ala, Hosein; Ala, Hosein (Hussein); Ala, Hussein (clinton)"
"Alam, Amir Asadullah; Alam, Asadollah; Alam, Assadollah (clinton)"
"Alam, Asadollah (briefing)"
"Alam, Asadollah (frus)"
"Alam, Asadullah (clinton)"
"Alamanis, Stelios (frus)"
"Alami, Musa (briefing)"
"Alami, Musa (clinton)"
"Alami, Musa (frus)"
"Alamsjah, H. (briefing)"
"Alamsjah, H. (clinton)"
"Alamsjah, H. (frus)"
Alanbrooke (cabinet)
"Alarid, David (clinton)"
"Alba Delibes, Jaime (briefing)"
"Alba Delibes, Jaime (frus)"
Alba de Tormes (frus)
"Alba, Joann (clinton)"
"Albanis, Greg (clinton)"
Albert (briefing)
Albert (frus)
Albert I (briefing)
Albert I (cpdoc)
Albert I (frus)
"Albert I, 1848-1922 (briefing)"
"Albert I, 1848-1922 (frus)"
"Albert I, 1875-1934 (briefing)"
"Albert I, 1875-1934 (frus)"
"Albert, Carl B. (briefing)"
"Albert, Carl B. (frus)"
"Albert, Carl; Albert, Carl B. (clinton)"
"Albert, Eddie (briefing)"
"Albert, Eddie (clinton)"
"Albert, Eddie (frus)"
"Albert, Heinrich Friedrich (briefing)"
"Albert, Heinrich Friedrich (frus)"
"Alberti, Francesco J. (frus)"
"Alberto Chissano, Joaquim (cpdoc)"
"Alberto Pereira, Carlos (cpdoc)"
"Alberto Romeiro, Jorge (cpdoc)"
"Alberto Torres, Carlos (cpdoc)"
"Alberto da Fontoura, Carlos (cpdoc)"
"Alberto, José (cpdoc)"
"Albright, Edward (briefing)"
"Albright, Edward (frus)"
"Albright, Madeleine (clinton)"
"Albright, Madeleine Korbel (briefing)"
"Albright, Madeleine Korbel (frus)"
"Albright, Madeleine; Albright, Madeline (clinton)"
"Albright, Richard (clinton)"
"Albu, A (cabinet)"
"Alcântara, Ary (cpdoc)"
"Alden, Roger (briefing)"
"Alden, Roger (frus)"
"Alderete, Mary (clinton)"
"Aldington, T (cabinet)"
"Aldrich Winthrop W.; Aldrich, Winthrop W. (clinton)"
"Aldrich, George H. (frus)"
"Aldrich, George H.; Aldrich, George H. L. (clinton)"
"Aldrich, Richard (briefing)"
"Aldrich, Richard (frus)"
"Aldrich, Winthrop Williams (briefing)"
"Aldrich, Winthrop Williams (frus)"
"Aldridge, Edward C. (briefing)"
"Aldridge, Edward C. (frus)"
Aldrovandi (cabinet)
"Aldwin, St. (cabinet)"
"Aldwy, St. (cabinet)"
"Aldwyn, St (cabinet)"
"Aldwyn, St. (cabinet)"
"Aleixo, Pedro (cpdoc)"
"Aleksandrov, Andrei M. (clinton)"
"Aleksandrov-Agentov, Andrei M. (clinton)"
"Aleksandrov-Agentov, Andrei M. (frus)"
Aleksey (Alexius) (briefing)
Aleksey (Alexius) (frus)
"Alekseyev, Nikolai (clinton)"
"Alekseyev, Nikolai (frus)"
"Aleman Valdes, Miguel (clinton)"
"Aleman, Arnoldo (briefing)"
"Aleman, Arnoldo (frus)"
"Aleman, Jaime (clinton)"
"Aleman, Miguel (cpdoc)"
"Aleman, Roberto R. (clinton)"
"Alemann, Dr. Roberto T. (clinton)"
"Alemann, Roberto T. (briefing)"
"Alemann, Roberto T. (frus)"
"Alemayehou, Mimi (clinton)"
"AlemÃÂ¡n Valdes, Miguel (briefing)"
"AlemÃ¡n, Roberto R. (briefing)"
"Alemán Valdes, Miguel (frus)"
"Alemán, Roberto R. (frus)"
